,ID,Name
0,83809,Nicolás Tagliafico
1,340105,Lisandro Martínez
2,364315,Antony
3,260843,André Onana
4,400166,Mohammed Kudus
5,322696,Edson Álvarez
6,349932,Noussair Mazraoui
7,362732,Perr Schuurs
8,363884,Ryan Gravenberch
9,34550,Remko Pasveer
10,70033,Daley Blind
11,89794,Steven Berghuis
12,108860,Davy Klaassen
13,401122,Kenneth Taylor
14,423955,Charlie Setford
15,388650,Jurriën Timber
16,29474,Dusan Tadic
17,383798,Mohamed Daramy
18,236544,Sébastien Haller
19,367522,Danilo
20,400165,Devyne Rensch
21,427577,Youri Regeer
22,291964,Vaclav Cerny
23,361838,Michal Sadílek
24,90235,Lars Unnerstall
25,108935,Robin Pröpper
26,119741,Joshua Brenet
27,120454,Virgil Misidjan
28,280289,Giovanni Troupée
29,322149,Michel Vlap
30,379702,Jesse Bosch
31,379703,Jeffrey de Lange
32,387172,Denilho Cleonise
33,387682,Ennio van der Gouw
34,400059,Gijs Smal
35,406780,Max Bruns
36,422781,Luca Everink
37,37344,Ricky van Wolfswinkel
38,400057,Casper Staring
39,422782,Manfred Ugalde
40,402819,Mees Hilgers
41,405560,Daan Rots
42,363658,Dimitris Limnios
43,379701,Ramiz Zerrouki
